Country,Country Code,HighIncome,OECD,SERF,GDPPC,Education,Health,Housing,Food,Work,EnrollYear,EnrollGDP,EnrollRate,EnrollAdjPerf,PrimaryYear,PrimaryGDP,PrimaryRate,PrimaryAdjPerf,ChildSurviveYear,ChildSurviveGDP,ChildSurviveRate,ChildSurviveAdjPerf,Age65Year,Age65GDP,Age65Rate,Age65AdjPerf,ContraceptiveYear,ContraceptiveGDP,ContraceptiveRate,ContraceptiveAdjPerf,SanitationYear,SanitationGDP,SanitationRate,SanitationAdjPerf,RuralImprovedH20Year,RuralImprovedH20GDP,RuralImprovedH20Rate,RuralImprovedH20AdjPerf,StuntingYear,StuntingGDP,StuntingRate,Stunting AdjPerf,NotPoorYear,NotPoorGDP,NotPoorRate,NotPoorAdjPerf
Burkina Faso,BFA,0,0,58.09866226,1592.9168,63.26949855,62.09237132,56.7137388,72.17033092,36.2473717,2013,1559.984966,46.53580856,60.84283702,2014,1576.296916,60.5324707,65.69616009,2015,1592.9168,91.14,81.95988272,2014,1576.296916,56.76038411,78.54718146,2014,1576.296916,17,25.77004979,2015,1592.9168,19.7,26.09465812,2015,1592.9168,75.8,87.33281947,2010,1420.932567,64.90000153,72.17033092,2014,1576.296916,25.35,36.2473717
Bangladesh,BGD,0,0,70.04298107,3136.561069,74.78041051,88.89017145,79.08970767,55.73248706,51.72212866,2011,2579.335048,59.21717834,74.76372004,2011,2579.335048,73.53121948,74.79710098,2015,3136.561069,96.24,93.86089602,2014,2979.16727,75.00211634,93.29171044,2013,2843.235044,59.2,79.51790788,2015,3136.561069,60.6,67.32178688,2015,3136.561069,87,90.85762846,2014,2979.16727,63.59999847,55.73248706,2010,2451.305285,43.2,51.72212866
Bulgaria,BGR,0,0,,17000.14214,93.81935605,76.94126799,89.96793399,,93.25701746,2015,17000.14214,90.53091,90.6396415,2014,16302.28881,98.67485809,96.9990706,2015,17000.14214,98.96,97.82898716,2014,16302.28881,78.37225721,84.66549596,2007,14795.85668,40.1,48.32932086,2015,17000.14214,86,81.64180056,2015,17000.14214,99,98.29406741,,,,,2012,15772.06271,95.3,93.25701746
Bahrain,BHR,1,0,,43753.89818,,,99.14100647,,,,,,,,,,,2015,43753.89818,99.38,98.48453899,2014,43014.17988,87.02477953,94.55274536,,,,,2015,43753.89818,99.2,98.28201294,2015,43753.89818,100,100,,,,,,,,
"Bahamas, The",BHS,1,0,,21602.67549,,,92.5304989,,,,,,,2010,22894.25706,93.09858704,82.4021646,2015,21602.67549,98.79,97.06119071,2014,22252.89004,77.92912751,83.35867957,,,,,2015,21602.67549,92,88.12589264,2015,21602.67549,98.4,96.93510517,,,,,,,,
Bosnia and Herzegovina,BIH,0,0,89.36547893,10118.77042,89.06320456,69.46964426,97.30510365,91.49637115,99.49307105,2014,9802.365697,77.98262024,83.20792195,2014,9802.365697,97.09832001,94.91848718,2015,10118.77042,99.46,100,2014,9802.365697,83.61075976,93.74318741,2012,9443.826755,12,14.66574536,2015,10118.77042,94.8,94.6102073,2015,10118.77042,100,100,2012,9443.826755,91.10000038,91.49637115,2011,9523.106752,99.55,99.49307105
Belarus,BLR,0,0,93.65022857,16661.99044,97.23978903,77.97297819,95.48156311,97.5568125,100,2015,16661.99044,99.92988,100,2014,17363.59864,97.61971283,94.47957806,2015,16661.99044,99.54,99.68426269,2014,17363.59864,69.67208283,72.71505519,2012,16906.03765,51.2,61.5196167,2015,16661.99044,94.3,92.48378044,2015,16661.99044,99.1,98.47934577,2005,10850.42836,95.5,97.5568125,2014,17363.59864,100,100
Belize,BLZ,0,0,,7967.766835,91.82251497,80.18270996,95.66038043,76.43630553,,2015,7967.766835,75.97016,83.64502993,2014,8055.42888,102.1257782,100,2015,7967.766835,98.35,97.12943036,2014,8055.42888,72.75181379,79.6151467,2011,7867.204816,51.8,63.80355282,2015,7967.766835,90.5,91.32076085,2015,7967.766835,100,100,2011,7867.204816,80.70000076,76.43630553,,,,
Bermuda,BMU,1,0,,,55.62494653,,,,,2013,50669.31477,65.66256714,48.86221376,2013,50669.31477,88.94348907,62.3876793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,0,0,77.41985186,6531.073588,99.29285173,69.92545126,62.87370043,66.38020242,88.62705344,2007,4972.552651,83.73825836,98.58570345,2008,5191.213418,102.7947922,100,2015,6531.073588,96.16,90.60105755,2014,6325.068991,68.84408844,75.50001049,2008,5191.213418,34.6,43.67528575,2015,6531.073588,50.3,51.42958218,2015,6531.073588,75.6,74.31781868,2008,5191.213418,72.79999924,66.38020242,2014,6325.068991,87.31,88.62705344
Brazil,BRA,0,0,,14454.93732,,91.24100263,79.69796872,92.91535754,89.42479882,2014,15162.41778,90.67132,91.49907525,,,,,2015,14454.93732,98.36,96.12182955,2014,15162.41778,78.01990382,84.38793606,2006,12532.83953,77,93.21324229,2015,14454.93732,82.8,79.13203836,2015,14454.93732,87,80.26389907,2007,13150.0052,92.9000001,92.91535754,2014,15162.41778,92.44,89.42479882
Barbados,BRB,1,0,,15408.38466,93.44492647,85.06630419,97.33623361,91.41106511,,2011,15404.80135,95.73803711,96.48116234,2014,15318.61424,95.54802704,90.40869059,2015,15408.38466,98.7,97.11931575,2014,15318.61424,83.26614773,91.49447124,2012,15397.1047,55.3,66.58512559,2015,15408.38466,96.2,95.16097908,2015,15408.38466,99.7,99.51148814,2012,15397.1047,92.30000019,91.41106511,,,,
Brunei Darussalam,BRN,1,0,,73604.87963,82.36959368,,,48.30867687,,2015,73604.87963,80.90537,64.73918736,2014,75052.02193,100.5607986,100,2015,73604.87963,98.98,97.05974859,2014,75052.02193,88.67394768,96.26493678,,,,,,,,,,,,,2009,78833.23594,80.29999924,48.30867687,,,,
Bhutan,BTN,0,0,77.2011116,7860.987122,85.88675644,82.46572489,75.44911962,55.16260214,87.0413549,2013,7167.526211,68.24703979,76.34520121,2014,7476.58231,97.01998138,95.42831168,2015,7860.987122,96.71,91.91100827,2014,7476.58231,68.56184939,74.11693334,2010,6485.588497,65.4,81.36923305,2015,7860.987122,50.4,50.89823924,2015,7860.987122,100,100,2010,6485.588497,66.40000153,55.16260214,2012,7120.274077,86.67,87.0413549
Botswana,BWA,0,0,68.67921388,14876.36204,88.47733253,69.58197175,72.16199216,56.4526896,56.72208339,2013,15022.07427,76.93154144,77.69826357,2013,15022.07427,99.66015625,99.25640149,2015,14876.36204,95.64,87.47755733,2014,15200.23871,59.68134543,59.4303702,2008,13617.80695,51.2,61.83798772,2015,14876.36204,63.4,56.36715392,2015,14876.36204,92.3,87.9568304,2007,13065.8637,68.60000038,56.4526896,2009,12329.21671,64.26,56.72208339
Central African Republic,CAF,0,0,69.45326755,581.1361707,55.92640632,68.53420156,94.5501235,83.77568457,44.47992181,2012,919.6975684,42.4890213,56.88607652,2012,919.6975684,44.4225502,54.96673611,2015,581.1361707,86.99,87.61085032,2014,565.5954357,43.06389353,100,2011,900.6397845,9.3,17.99175436,2015,581.1361707,21.8,90.36664028,2015,581.1361707,54.4,98.73360672,2010,888.716861,59.29999924,83.77568457,2008,880.5488724,17.73,44.47992181
Canada,CAN,1,1,,42894.66666,,,98.43854146,,,,,,,2006,41203.3504,96.5304184,87.9657773,2015,42894.66666,99.51,98.90106364,2014,42800.08504,89.83343925,98.2975963,,,,,2015,42894.66666,99.8,99.57324949,2015,42894.66666,99,97.30383343,,,,,,,,
Switzerland,CHE,1,1,,56517.45244,80.61580721,,99.87748705,,,2014,56680.4365,88.09047699,79.58524368,2014,56680.4365,95.35034943,81.64637074,2015,56517.45244,99.61,99.11005348,2014,56680.4365,91.40551846,100,,,,,2015,56517.45244,99.9,99.7549741,2015,56517.45244,100,100,,,,,,,,
Channel Islands,CHI,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,1,1,,22197.04271,93.66692639,,92.96674707,100,96.53431148,2015,22197.04271,97.16813,96.81460926,2014,21923.38642,96.30917358,90.51924352,2015,22197.04271,99.19,98.29908941,2014,21923.38642,88.12473193,97.1158548,,,,,2015,22197.04271,99.1,98.62033211,2015,22197.04271,93.3,87.31316204,2014,21923.38642,98.20000005,100,2013,21748.32609,97.95,96.53431148
China,CHN,0,0,,13571.68553,,97.29543161,80.98576825,90.69578025,86.21014243,2015,13571.68553,79.97297,81.62189159,,,,,2015,13571.68553,98.93,98.01031423,2014,12758.64867,84.54976948,93.8759806,2006,6411.042988,84,100,2015,13571.68553,76.5,72.47860375,2015,13571.68553,93,89.49293275,2010,9525.819142,90.60000038,90.69578025,2013,11951.24879,88.91,86.21014243
Cote d'Ivoire,CIV,0,0,55.19801121,3300.072489,62.56655577,44.63483341,48.14987568,68.36652711,52.27226406,2015,3300.072489,55.24694,68.18170555,2014,3097.341369,56.91072083,56.95140599,2015,3300.072489,90.74,75.3432738,2014,3097.341369,42.57138397,41.69275784,2012,2752.989454,12.5,16.86846861,2015,3300.072489,22.5,24.79123341,2015,3300.072489,68.8,71.50851795,2012,2752.989454,70.39999962,68.36652711,2008,2705.126462,44.86,52.27226406
Cameroon,CMR,0,0,62.84036507,2925.887417,81.29462588,50.0785881,53.45974284,64.35290293,65.01596559,2015,2925.887417,71.94519,89.82729135,2014,2835.566677,72.1678009,72.7619604,2015,2925.887417,91.21,77.49753391,2014,2835.566677,49.27325929,53.15319145,2011,2614.495561,14.4,19.58503894,2015,2925.887417,45.8,51.49741818,2015,2925.887417,52.7,55.42206751,2014,2835.566677,68.29999924,64.35290293,2014,2835.566677,56.46,65.01596559
"Congo, Rep.",COG,0,0,55.09976531,5993.153101,72.1901865,59.46109164,27.41903929,74.94820904,41.48030008,2012,5698.126379,67.01712799,77.47923637,2012,5698.126379,74.25460815,66.90113663,2015,5993.153101,95.5,88.71294679,2014,5988.158823,60.98771318,64.58727548,2012,5698.126379,20,25.08305265,2015,5993.153101,15,15.43881474,2015,5993.153101,40,39.39926384,2015,5993.153101,78.79999924,74.94820904,2011,5632.435875,40.38,41.48030008
Colombia,COL,0,0,85.02449083,12988.33879,95.85219445,90.14612802,70.82031088,85.13717663,83.16664418,2015,12988.33879,89.38359,91.70438891,2014,12715.14324,100.6021805,100,2015,12988.33879,98.41,96.42321811,2014,12715.14324,78.33761272,85.38061273,2010,10900.50433,72.9,88.63455323,2015,12988.33879,81.1,78.17293477,2015,12988.33879,73.8,63.467687,2010,10900.50433,87.30000019,85.13717663,2014,12715.14324,86.8,83.16664418
Comoros,COM,0,0,81.20138189,1393.256081,83.06695052,68.79862673,75.11714122,79.02419096,100,2014,1412.36289,64.44814,84.71379046,2013,1417.511495,73.57402802,81.42011058,2015,1393.256081,92.65,89.0099243,2014,1412.36289,62.67253549,95.06627737,2012,1403.245387,14.2,22.31967854,2015,1393.256081,35.8,50.23428243,2015,1393.256081,89.1,100,2012,1403.245387,67.90000153,79.02419096,2004,1449.341054,67.74,100
Cabo Verde,CPV,0,0,,6157.89677,93.17402968,86.45658938,80.54621257,,76.84950601,2015,6157.89677,75.77446,86.65869217,2014,6147.508198,99.77842712,99.68936719,2015,6157.89677,97.55,95.24380067,2014,6147.508198,79.83366051,91.42782825,2005,4646.813934,57.1,72.69813923,2015,6157.89677,72.2,74.1520346,2015,6157.89677,87.3,86.94039055,,,,,2007,5694.337066,74.9,76.84950601
Costa Rica,CRI,0,0,94.32781877,14646.56982,96.78523368,94.67243148,90.31047174,95.25047974,94.62047722,2015,14646.56982,95.07085,96.24703802,2014,14266.38162,98.73825836,97.32342933,2015,14646.56982,99.03,98.22620576,2014,14266.38162,86.05890652,95.53088361,2011,13397.19269,74.7,90.26020506,2015,14646.56982,94.5,93.18211876,2015,14646.56982,91.9,87.43882472,2008,12834.94199,94.4000001,95.25047974,2014,14266.38162,96.07,94.62047722
Cuba,CUB,0,0,,,83.41991019,93.49656615,84.58352101,,,2013,19950.28063,81.50314331,80.37208951,2013,19950.28063,94.40789032,86.46773087,2013,19950.28063,99.43,99.15060347,2013,19950.28063,85.34194816,93.58485764,2011,18924.76327,73.2,87.75423735,2013,19950.28063,93.1,90.10829797,2013,19950.28063,88.1,79.05874404,,,,,,,,
Curacao,CUW,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,49902.14655,95.6,90.15163635,,,,,,,,,,,,
Cyprus,CYP,1,0,,30603.53135,90.4774429,,100,,,2015,30603.53135,85.66935,81.49234215,2014,29711.25919,99.82537842,99.46254364,2015,30603.53135,99.73,99.76749992,2014,29711.25919,90.61777103,99.86181594,,,,,2015,30603.53135,100,100,2015,30603.53135,100,100,,,,,,,,
Czech Republic,CZE,1,1,,30380.59073,93.49853004,95.07338946,99.19390944,,99.41574801,2014,29119.61661,93.56109619,91.76836209,2014,29119.61661,98.41120148,95.22869799,2015,30380.59073,99.66,99.55190485,2014,29119.61661,85.75070024,93.38063455,2008,29313.64619,77.5,92.28762899,2015,30380.59073,99.1,98.38781888,2015,30380.59073,100,100,,,,,2012,28527.13873,99.7,99.41574801
Germany,DEU,1,1,,43787.81573,98.32535712,89.81019424,99.14067647,100,,2015,43787.81573,97.8706,96.65071425,2014,43417.73061,100.2945099,100,2015,43787.81573,99.63,99.26882039,2014,43417.73061,88.87582871,97.0063769,2005,37703.93294,61.6,73.15538544,2015,43787.81573,99.2,98.28135294,2015,43787.81573,100,100,2005,37703.93294,98.70000005,100,,,,
Djibouti,DJI,0,0,59.95989149,3279.123902,54.56556068,59.5800466,59.78282304,61.07115689,64.79987022,2011,2782.971292,36.80908966,46.16757032,2015,3279.123902,63.66014099,62.96355104,2015,3279.123902,93.47,84.42093099,2014,3120.044328,60.79203177,70.18419054,2012,2879.19705,18,24.13501826,2015,3279.123902,47.4,52.27927532,2015,3279.123902,64.7,67.28637076,2012,2879.19705,66.5,61.07115689,2013,2982.993726,56.95,64.79987022
Dominica,DMA,0,0,,10204.03569,,,85.20993312,,,,,,,2014,10435.7462,106.6465302,100,2015,10204.03569,97.88,95.12289099,,,,,,,,,2007,9655.15077,81.1,80.87128914,2007,9655.15077,91.8,89.54857711,,,,,,,,
Denmark,DNK,1,1,,44041.73487,97.99278381,,99.56809742,,,2014,43920.01695,105.1824036,100,2014,43920.01695,98.91304016,95.98556763,2015,44041.73487,99.65,99.32912642,2014,43920.01695,88.1483778,96.02525936,,,,,2015,44041.73487,99.6,99.13619483,2015,44041.73487,100,100,,,,,,,,
Dominican Republic,DOM,0,0,85.24474763,13371.5288,81.38654022,85.37502787,77.53594954,93.26925695,88.65696356,2014,12638.9713,77.91661072,80.21276012,2014,12638.9713,90.91072083,82.56032031,2015,13371.5288,96.91,91.62859649,2014,12638.9713,75.44758003,81.44237519,2013,11887.54361,68.5,83.05411192,2015,13371.5288,84,81.2248399,2015,13371.5288,81.9,73.84705919,2013,11887.54361,92.9000001,93.26925695,2013,11887.54361,90.88,88.65696356
Algeria,DZA,0,0,,13822.56622,91.52087915,80.10812784,79.25174109,85.99672434,,2011,13026.19166,80.96907043,83.0417583,2014,13553.90607,108.6427383,100,2015,13822.56622,97.45,93.2968001,2014,13553.90607,81.14969671,89.00671941,2012,13209.23176,48,58.02086401,2015,13822.56622,87.6,85.16838586,2015,13822.56622,81.8,73.33509632,2012,13209.23176,88.30000019,85.99672434,,,,
Ecuador,ECU,0,0,82.52854948,10776.57766,97.09394534,85.40883794,75.943446,66.39610038,87.80041776,2013,10665.62262,89.3809433,94.18789069,2014,10922.96342,112.5604172,100,2015,10776.57766,97.84,94.90117072,2014,10922.96342,80.69172826,89.20402011,2004,8311.702585,58.7,72.12132298,2015,10776.57766,84.7,83.71113305,2015,10776.57766,75.5,68.17575895,2012,10322.29471,74.79999924,66.39610038,2014,10922.96342,89.78,87.80041776
"Egypt, Arab Rep.",EGY,0,0,,10249.95791,91.4631589,81.66840189,96.57249462,70.88094231,,2014,10048.57243,78.00697327,82.9263178,2013,10050.03428,103.8235321,100,2015,10249.95791,97.6,94.22360969,2014,10048.57243,74.78836699,81.40362123,2014,10048.57243,56.9,69.37797475,2015,10249.95791,94.7,94.4721686,2015,10249.95791,99,98.67282063,2014,10048.57243,77.70000076,70.88094231,,,,
Eritrea,ERI,0,0,,,44.23257095,,41.65267157,41.19194457,,2010,1326.115392,30.04380035,39.61593819,2010,1326.115392,43.54806137,48.84920371,2011,1411.157638,94.65,96.0423638,2011,1411.157638,56.94349575,83.43597366,,,,,2011,1411.157638,14.9,20.78276788,2011,1411.157638,52.8,62.52257527,2010,1326.115392,49.70000076,41.19194457,,,,
Spain,ESP,1,1,,32329.58792,96.71049372,91.00781669,99.90731263,,,2015,32329.58792,109.28746,100,2014,31297.92566,97.87254333,93.42098745,2015,32329.58792,99.59,99.29462316,2014,31297.92566,90.53083766,99.65899388,2006,33700.88399,62.3,74.06983303,2015,32329.58792,99.9,99.81462526,2015,32329.58792,100,100,,,,,,,,
Estonia,EST,1,1,,27345.24687,98.64736469,85.22526777,96.55650149,,97.04057758,2015,27345.24687,97.83115,97.29472939,2013,26148.48162,106.5163803,100,2015,27345.24687,99.71,99.77790389,2014,26957.23744,80.67697494,86.70956264,2005,22807.1798,57.9,69.18833678,2015,27345.24687,97.2,95.27162891,2015,27345.24687,99,97.84137406,,,,,2012,25691.99875,98.39,97.04057758
Ethiopia,ETH,0,0,61.8714655,1529.893783,65.4088405,81.14594134,47.08910136,60.69070926,55.02273506,2012,1233.952174,54.0721817,71.54293353,2014,1430.803443,53.65982819,59.27474747,2015,1529.893783,94.08,92.88358222,2014,1430.803443,64.26112449,97.61259082,2014,1430.803443,33.9,52.94165096,2015,1529.893783,28,37.69575896,2015,1529.893783,48.6,56.48244377,2014,1430.803443,59.59999847,60.69070926,2010,1075.553702,28.73,55.02273506
Finland,FIN,1,1,,38940.92975,98.67898996,,97.58791578,,,2015,38940.92975,115.41453,100,2014,38987.41962,99.24481201,97.35797993,2015,38940.92975,99.77,99.76160063,2014,38987.41962,88.02303946,95.99830177,,,,,2015,38940.92975,97.6,95.17583156,2015,38940.92975,100,100,,,,,,,,
Fiji,FJI,0,0,,8756.400469,,,90.36738401,,81.60142353,,,,,2013,7970.626336,102.9385834,100,2015,8756.400469,97.76,95.03497521,2014,8348.206772,70.95683361,76.91851142,,,,,2015,8756.400469,91.1,91.43602955,2015,8756.400469,91.2,89.29873848,,,,,2008,7385.259493,81.5,81.60142353
France,FRA,1,1,,37774.99918,,94.47443757,98.7054871,,,2014,37451.37679,96.15029144,94.41568803,,,,,2015,37774.99918,99.57,99.14838295,2014,37451.37679,88.27983282,96.39193763,2008,37634.92905,74,87.88299213,2015,37774.99918,98.7,97.41097421,2015,37774.99918,100,100,,,,,,,,
Faroe Islands,FRO,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,0,0,,3284.134639,,,76.92181822,,67.5266955,,,,,,,,,2015,3284.134639,96.53,94.5546256,2014,3177.392591,72.52850551,88.26991996,,,,,2015,3284.134639,57.1,62.96259043,2015,3284.134639,87.4,90.88104601,,,,,2013,3299.664018,60.65,67.5266955
Gabon,GAB,0,0,,18860.21415,,57.77269046,38.67214229,74.52174542,65.33590916,,,,,,,,,2015,18860.21415,94.92,84.96973191,2014,18536.76837,64.19890125,65.17767149,2012,17594.95633,19.3,23.17066798,2015,18860.21415,41.9,29.16587634,2015,18860.21415,66.7,48.17840825,2012,17594.95633,82.5,74.52174542,2005,17316.60344,75.57,65.33590916
United Kingdom,GBR,1,1,,38519.4913,,98.64872116,99.19359466,,,2014,37983.13319,99.8108902,99.7213597,,,,,2015,38519.4913,99.58,99.1702275,2014,37983.13319,88.72579547,96.96830143,2009,35795.1837,84,99.80763454,2015,38519.4913,99.2,98.38718933,2015,38519.4913,100,100,,,,,,,,
Georgia,GEO,0,0,86.08827974,9015.887767,96.639856,77.38998289,93.2421142,90.1622691,73.00717652,2015,9015.887767,86.32549,93.279712,2014,8749.156145,116.4574203,100,2015,9015.887767,98.81,98.32610064,2014,8749.156145,81.0372635,90.7622619,2010,6733.783769,34.7,43.08158613,2015,9015.887767,86.3,86.48422839,2015,9015.887767,100,100,2009,6254.655079,88.69999981,90.1622691,2014,8749.156145,74.73,73.00717652
Ghana,GHA,0,0,69.48594139,3954.523716,93.55838453,60.07667965,51.00430042,82.51041252,60.27992983,2015,3954.523716,71.96935,87.11676905,2015,3954.523716,101.1004715,100,2015,3954.523716,93.84,84.76925396,2014,3894.004399,60.20949382,66.73996692,2014,3894.004399,22.2,28.72081806,2015,3954.523716,14.9,16.00173941,2015,3954.523716,84,86.00686144,2014,3894.004399,81.29999924,82.51041252,2005,2557.426725,50.96,60.27992983
Gibraltar,GIB,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,0,0,64.5210686,1135.48655,70.90750766,61.87926264,58.21100907,77.45794717,54.14961647,2014,1165.12982,53.11494827,70.45657496,2014,1165.12982,61.75585175,71.35844037,2015,1135.48655,90.63,84.70604299,2014,1165.12982,56.46795013,93.2750547,2012,1197.488792,4.59,7.656690231,2015,1135.48655,20.1,31.59977283,2015,1135.48655,67.4,84.8222453,2012,1197.488792,64.20000076,77.45794717,2012,1197.488792,31.35,54.14961647
"Gambia, The",GMB,0,0,,1577.569039,72.90095702,61.18527009,87.87848628,89.16408342,,2010,1654.908123,55.69942856,72.57668086,2014,1555.529349,67.31471252,73.22523319,2015,1577.569039,93.11,89.05303769,2014,1555.529349,58.42250846,82.26036817,2013,1592.650323,8.1,12.24240441,2015,1577.569039,58.9,78.31683837,2015,1577.569039,84.4,97.44013419,2013,1592.650323,75,89.16408342,,,,
Guinea-Bissau,GNB,0,0,60.17510828,1367.298975,74.50444781,58.69053298,50.70821114,90.82938601,26.14296347,2006,1262.150653,59.97521973,79.27042623,2010,1326.560109,62.17481995,69.73846938,2015,1367.298975,90.75,82.39235121,2014,1336.462391,52.70671997,77.16889993,2010,1326.560109,10.3,16.5103478,2015,1367.298975,20.8,29.45105226,2015,1367.298975,60.3,71.96537003,2014,1336.462391,72.39999962,90.82938601,2010,1326.560109,16.41,26.14296347
Equatorial Guinea,GNQ,0,0,,38243.35424,,43.86618281,30.18709465,45.0262396,,,,,,2012,47829.65765,51.23036957,7.304772584,2015,38243.35424,90.59,70.94156319,2014,42926.02595,54.17027189,50.81594329,2011,45500.22679,8.3,9.841041962,2015,38243.35424,74.5,55.22482588,2015,38243.35424,31.5,5.149363424,2010,44015.35331,73.79999924,45.0262396,,,,
Greece,GRC,1,1,,24094.79419,96.08467419,,99.20189713,,,2014,23989.13624,105.78492,100,2013,23746.08457,97.08522034,92.16934837,2015,24094.79419,99.54,99.33550545,2014,23989.13624,88.7125056,97.71091541,,,,,2015,24094.79419,99,98.40379427,2015,24094.79419,100,100,,,,,,,,
Grenada,GRD,0,0,,12734.26205,90.15924636,,95.39564953,,,2015,12734.26205,99.78973,100,2014,12041.2442,89.43544006,80.31849272,2015,12734.26205,98.82,97.75180312,2014,12041.2442,77.68915216,84.68645293,,,,,2015,12734.26205,98,97.67599814,2015,12734.26205,95.3,93.11530092,,,,,,,,
Greenland,GRL,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,0,0,68.3733633,7252.949966,78.98587581,76.69922198,75.10947034,34.78421405,76.28803431,2013,6962.810589,68.93016052,77.4409406,2014,7106.392331,86.6244278,80.53081102,2015,7252.949966,97.09,93.31868261,2014,7106.392331,74.00615222,82.10040221,2009,6622.906311,44,54.67858113,2015,7252.949966,63.9,64.86000718,2015,7252.949966,86.8,85.3589335,2015,7252.949966,53.5,34.78421405,2014,7106.392331,75.95,76.28803431
Guam,GUM,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,0,0,,7064.450025,78.06621221,70.62187,91.61616239,88.43354508,,2012,6348.666915,68.53813934,78.04250258,2012,6348.666915,84.07089233,78.08992183,2015,7064.450025,96.06,90.07829915,2014,6886.960283,66.42227715,71.5388947,2009,5560.188129,40,50.24841617,2015,7064.450025,83.7,85.10684188,2015,7064.450025,98.3,98.1254829,2014,6886.960283,88,88.43354508,,,,
"Hong Kong SAR, China",HKG,1,0,,53462.863,93.06374806,,,,,2014,52652.32438,93.13606262,88.38985294,2014,52652.32438,99.44406128,97.73764317,,,,,2014,52652.32438,92.11833552,100,2007,45937.44253,75.4,89.39269383,,,,,,,,,,,,,,,,
Honduras,HND,0,0,81.43539198,4785.444354,85.26487945,89.3681063,85.74104647,74.53516731,72.26776037,2014,4682.99035,68.9246521,81.76644986,2014,4682.99035,90.7219696,88.76330904,2015,4785.444354,97.96,97.44294257,2014,4682.99035,76.61371752,89.28813023,2012,4548.312844,63.8,81.37324608,2015,4785.444354,82.6,86.78425922,2015,4785.444354,83.8,84.69783371,2012,4548.312844,77.29999924,74.53516731,2014,4682.99035,68.79,72.26776037
Croatia,HRV,1,0,,20663.92949,89.21578371,,97.50943935,,96.3402722,2014,20162.7389,89.90434265,89.1990987,2014,20162.7389,95.61401367,89.23246873,2015,20663.92949,99.57,99.55963244,2014,20162.7389,84.52074044,92.45150152,,,,,2015,20663.92949,97,95.58438193,2015,20663.92949,99.7,99.43449677,,,,,2012,20313.48265,97.76,96.3402722
Haiti,HTI,0,0,,1650.59349,,74.06148059,45.25483214,95.6325542,41.3586543,,,,,,,,,2015,1650.59349,93.1,88.48951059,2014,1652.709002,61.75700074,86.3218353,2012,1584.891307,31.3,47.37309589,2015,1650.59349,27.6,36.0664594,2015,1650.59349,47.6,54.44320489,2012,1584.891307,78.10000038,95.6325542,2012,1584.891307,29.01,41.3586543
Hungary,HUN,1,1,,24831.34606,89.85688036,,98.3848788,,99.10143162,2015,24831.34606,90.17017,88.39765407,2014,24016.30038,96.77620697,91.31610664,2015,24831.34606,99.41,98.90306106,2014,24016.30038,77.63369029,82.82123215,,,,,2015,24831.34606,98,96.7697576,2015,24831.34606,100,100,,,,,2012,22480.74622,99.48,99.10143162
Indonesia,IDN,0,0,69.27452848,10385.32332,90.98713602,80.18644987,66.41986439,49.57115122,59.20804091,2014,10031.32195,77.09169769,81.97427203,2014,10031.32195,102.8928909,100,2015,10385.32332,97.28,93.18234431,2014,10031.32195,71.29050761,76.56706757,2012,9282.706005,57.9,70.80993772,2015,10385.32332,60.8,59.2734193,2015,10385.32332,79.5,73.56630949,2013,9672.59543,63.59999847,49.57115122,2014,10031.32195,63.56,59.20804091
Isle of Man,IMY,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,0,0,64.78074992,5729.777238,88.85329542,76.09284432,66.78351862,47.94700107,44.22709019,2014,5391.694148,70.84213,82.51902298,2013,5089.580706,96.20903778,95.18756786,2015,5729.777238,95.23,87.97254466,2014,5391.694148,69.71465399,77.90137861,2008,3786.750098,48.1,62.4046097,2015,5729.777238,39.6,40.91025828,2015,5729.777238,92.6,92.65677895,2014,5391.694148,61.29999924,47.94700107,2011,4634.945162,42.04,44.22709019
Ireland,IRL,1,1,,61378.36025,,89.97101532,85.25252945,,,2014,48885.61981,107.91864,100,,,,,2015,61378.36025,99.64,99.1779711,2014,48885.61981,89.69928679,97.97482807,2005,48918.86291,61.4,72.76024678,2015,61378.36025,90.5,77.48607283,2015,61378.36025,97.8,93.01898607,,,,,,,,
